date,per,device,type,is_maintenance,month,season,day_of_year,days_since_last_maint
2024-08-08,111.109521916463,A_1,none,0,8,2,221,1.0
2024-08-09,111.109521916463,A_1,none,0,8,2,222,2.0
2024-08-10,111.109521916463,A_1,none,0,8,2,223,3.0
2024-08-11,108.245495887878,A_1,small,1,8,2,224,0.0
2024-08-12,111.061152386008,A_1,none,0,8,2,225,1.0
2024-08-13,110.263323733,A_1,none,0,8,2,226,2.0
2024-08-14,108.924938299821,A_1,none,0,8,2,227,3.0
2024-08-15,108.278850354381,A_1,small,1,8,2,228,0.0
2024-08-16,110.490486577491,A_1,none,0,8,2,229,1.0
2024-08-17,105.72657323521,A_1,none,0,8,2,230,2.0
2024-08-18,108.658415668205,A_1,none,0,8,2,231,3.0
2024-08-19,107.982029258898,A_1,small,1,8,2,232,0.0
2024-08-20,110.543466790086,A_1,none,0,8,2,233,1.0
2024-08-21,77.0890832081051,A_1,none,0,8,2,234,2.0
2024-08-22,107.244058826791,A_1,none,0,8,2,235,3.0
2024-08-23,108.772790082141,A_1,none,0,8,2,236,4.0
2024-08-24,107.996440608788,A_1,small,1,8,2,237,0.0
2024-08-25,107.415546008629,A_1,none,0,8,2,238,1.0
2024-08-26,103.296461656824,A_1,none,0,8,2,239,2.0
2024-08-27,110.162447054633,A_1,small,1,8,2,240,0.0
2024-08-28,107.264763517236,A_1,none,0,8,2,241,1.0
2024-08-29,109.550252926529,A_1,none,0,8,2,242,2.0
2024-08-30,107.070791456732,A_1,small,1,8,2,243,0.0
2024-08-31,107.070791456732,A_1,none,0,8,2,244,1.0
2024-09-01,107.012275018086,A_1,none,0,9,3,245,2.0
2024-09-02,107.210617531361,A_1,small,1,9,3,246,0.0
2024-09-03,106.618117968386,A_1,none,0,9,3,247,1.0
2024-09-04,103.401496884135,A_1,none,0,9,3,248,2.0
2024-09-05,103.08391191656,A_1,none,0,9,3,249,3.0
2024-09-06,102.575521267213,A_1,none,0,9,3,250,4.0
2024-09-07,102.771992095702,A_1,small,1,9,3,251,0.0
2024-09-08,102.535844428655,A_1,none,0,9,3,252,1.0
2024-09-09,102.909841047983,A_1,none,0,9,3,253,2.0
2024-09-10,102.909841047983,A_1,none,0,9,3,254,3.0
2024-09-11,102.909841047983,A_1,small,1,9,3,255,0.0
2024-09-12,101.333790508706,A_1,none,0,9,3,256,1.0
2024-09-13,103.155819261641,A_1,none,0,9,3,257,2.0
2024-09-14,99.9396801648867,A_1,none,0,9,3,258,3.0
2024-09-15,101.380603978779,A_1,small,1,9,3,259,0.0
2024-09-16,98.8266138126494,A_1,none,0,9,3,260,1.0
2024-09-17,97.804033999605,A_1,none,0,9,3,261,2.0
2024-09-18,99.5816515821455,A_1,small,1,9,3,262,0.0
2024-09-19,98.4455665417315,A_1,none,0,9,3,263,1.0
2024-09-20,99.4489500139312,A_1,none,0,9,3,264,2.0
2024-09-21,96.3557722993169,A_1,none,0,9,3,265,3.0
2024-09-22,97.6073276801006,A_1,small,1,9,3,266,0.0
2024-09-23,98.1926852960069,A_1,none,0,9,3,267,1.0
2024-09-24,95.9343551854457,A_1,none,0,9,3,268,2.0
2024-09-25,94.831660105431,A_1,none,0,9,3,269,3.0
2024-09-26,94.831660105431,A_1,small,1,9,3,270,0.0
2024-09-27,94.3110006362943,A_1,none,0,9,3,271,1.0
2024-09-28,92.1653778958245,A_1,none,0,9,3,272,2.0
2024-09-29,94.6624556624601,A_1,none,0,9,3,273,3.0
2024-09-30,93.2570426625048,A_1,none,0,9,3,274,4.0
2024-10-01,93.2570426625048,A_1,medium,1,10,3,275,0.0
2024-10-02,99.1374569595605,A_1,none,0,10,3,276,1.0
2024-10-03,99.1374569595605,A_1,none,0,10,3,277,2.0
2024-10-04,98.6125057846751,A_1,none,0,10,3,278,3.0
2024-10-05,97.9857092708345,A_1,none,0,10,3,279,4.0
2024-10-06,95.6665322219732,A_1,small,1,10,3,280,0.0
2024-10-07,96.6661915222788,A_1,none,0,10,3,281,1.0
2024-10-08,95.8854785617533,A_1,none,0,10,3,282,2.0
2024-10-09,95.6527484382676,A_1,none,0,10,3,283,3.0
2024-10-10,96.4205582022454,A_1,none,0,10,3,284,4.0
2024-10-11,95.158998577434,A_1,small,1,10,3,285,0.0
2024-10-12,95.854983708764,A_1,none,0,10,3,286,1.0
2024-10-13,93.4455771564719,A_1,none,0,10,3,287,2.0
2024-10-14,92.3376183080341,A_1,none,0,10,3,288,3.0
2024-10-15,93.6161183159285,A_1,none,0,10,3,289,4.0
2024-10-16,91.8959743165693,A_1,small,1,10,3,290,0.0
2024-10-17,93.1353479370315,A_1,none,0,10,3,291,1.0
2024-10-18,91.2155085006494,A_1,none,0,10,3,292,2.0
2024-10-19,90.7973822115527,A_1,small,1,10,3,293,0.0
2024-10-20,92.6287043880738,A_1,none,0,10,3,294,1.0
2024-10-21,91.7658821844543,A_1,none,0,10,3,295,2.0
2024-10-22,89.8709769402891,A_1,none,0,10,3,296,3.0
2024-10-23,89.5082576219907,A_1,none,0,10,3,297,4.0
2024-10-24,88.663392360731,A_1,small,1,10,3,298,0.0
2024-10-25,88.2758922778855,A_1,none,0,10,3,299,1.0
2024-10-26,88.1792275501657,A_1,none,0,10,3,300,2.0
2024-10-27,87.2401489473471,A_1,none,0,10,3,301,3.0
2024-10-28,87.2577153038852,A_1,small,1,10,3,302,0.0
2024-10-29,85.4519842017147,A_1,none,0,10,3,303,1.0
2024-10-30,86.2068089004603,A_1,none,0,10,3,304,2.0
2024-10-31,88.0470886910642,A_1,small,1,10,3,305,0.0
2024-11-01,86.4401510782019,A_1,none,0,11,3,306,1.0
2024-11-02,85.5246480096222,A_1,none,0,11,3,307,2.0
2024-11-03,85.8112498226667,A_1,none,0,11,3,308,3.0
2024-11-04,84.6923973523953,A_1,small,1,11,3,309,0.0
2024-11-05,83.928561088734,A_1,none,0,11,3,310,1.0
2024-11-06,85.3175289566088,A_1,none,0,11,3,311,2.0
2024-11-07,83.7684944924923,A_1,none,0,11,3,312,3.0
2024-11-08,85.4652788298882,A_1,small,1,11,3,313,0.0
2024-11-09,81.9676678979502,A_1,none,0,11,3,314,1.0
2024-11-10,82.1184092585406,A_1,none,0,11,3,315,2.0
2024-11-11,83.3201490213675,A_1,none,0,11,3,316,3.0
2024-11-12,82.8315473902099,A_1,small,1,11,3,317,0.0
2024-11-13,80.7565406866687,A_1,none,0,11,3,318,1.0
2024-11-14,80.8687906344506,A_1,none,0,11,3,319,2.0
2024-11-15,79.6454478296825,A_1,none,0,11,3,320,3.0
2024-11-16,80.5620641903791,A_1,none,0,11,3,321,4.0
2024-11-17,79.277750203422,A_1,small,1,11,3,322,0.0
2024-11-18,79.1624975247117,A_1,none,0,11,3,323,1.0
2024-11-19,77.7316508623647,A_1,none,0,11,3,324,2.0
2024-11-20,77.8662302608407,A_1,none,0,11,3,325,3.0
2024-11-21,77.452157841978,A_1,none,0,11,3,326,4.0
2024-11-22,77.7031266934587,A_1,small,1,11,3,327,0.0
2024-11-23,77.7031266934587,A_1,none,0,11,3,328,1.0
2024-11-24,77.595559872781,A_1,none,0,11,3,329,2.0
2024-11-25,76.8777876476241,A_1,small,1,11,3,330,0.0
2024-11-26,75.9447623004584,A_1,none,0,11,3,331,1.0
2024-11-27,75.7063036355124,A_1,none,0,11,3,332,2.0
2024-11-28,75.7063036355124,A_1,small,1,11,3,333,0.0
2024-11-29,75.0875551715292,A_1,none,0,11,3,334,1.0
2024-11-30,74.0032681642935,A_1,none,0,11,3,335,2.0
2024-12-01,73.9107640961146,A_1,none,0,12,4,336,3.0
2024-12-02,93.0853162262432,A_1,large,1,12,4,337,0.0
2024-12-03,93.0853162262432,A_1,small,1,12,4,338,0.0
2024-12-04,92.859435122086,A_1,none,0,12,4,339,1.0
2024-12-05,92.2503420118628,A_1,none,0,12,4,340,2.0
2024-12-06,92.1862631233983,A_1,none,0,12,4,341,3.0
2024-12-07,91.6405939018636,A_1,small,1,12,4,342,0.0
2024-12-08,91.6351016521468,A_1,none,0,12,4,343,1.0
2024-12-09,91.1183293541202,A_1,none,0,12,4,344,2.0
2024-12-10,90.8183635524182,A_1,small,1,12,4,345,0.0
2024-12-11,90.4225464377634,A_1,none,0,12,4,346,1.0
2024-12-12,89.7436572250472,A_1,none,0,12,4,347,2.0
2024-12-13,89.3865304051485,A_1,none,0,12,4,348,3.0
2024-12-14,88.1517140177413,A_1,none,0,12,4,349,4.0
2024-12-15,86.8333496985183,A_1,small,1,12,4,350,0.0
2024-12-16,86.8333496985183,A_1,none,0,12,4,351,1.0
2024-12-17,85.8591298120368,A_1,none,0,12,4,352,2.0
2024-12-18,84.8987886335689,A_1,none,0,12,4,353,3.0
2024-12-19,84.1827436509142,A_1,none,0,12,4,354,4.0
2024-12-20,84.1827436509142,A_1,small,1,12,4,355,0.0
2024-12-21,83.4022960704871,A_1,none,0,12,4,356,1.0
2024-12-22,83.8445657882495,A_1,none,0,12,4,357,2.0
2024-12-23,82.0282567093914,A_1,none,0,12,4,358,3.0
2024-12-24,81.7588975995591,A_1,none,0,12,4,359,4.0
2024-12-25,81.0679313682657,A_1,small,1,12,4,360,0.0
2024-12-26,80.4602103830058,A_1,none,0,12,4,361,1.0
2024-12-27,80.68093703752,A_1,none,0,12,4,362,2.0
2024-12-28,80.68093703752,A_1,none,0,12,4,363,3.0
2024-12-29,79.2123456882961,A_1,small,1,12,4,364,0.0
2024-12-30,79.4326532744892,A_1,none,0,12,4,365,1.0
2024-12-31,78.5815232248816,A_1,none,0,12,4,366,2.0
2025-01-01,78.6255142081391,A_1,none,0,1,4,1,3.0
2025-01-02,77.8943809742669,A_1,none,0,1,4,2,4.0
2025-01-03,77.8636191476768,A_1,small,1,1,4,3,0.0
2025-01-04,77.1295089212456,A_1,none,0,1,4,4,1.0
2025-01-05,76.4854411469799,A_1,none,0,1,4,5,2.0
2025-01-06,76.890173393037,A_1,none,0,1,4,6,3.0
2025-01-07,75.7464153409358,A_1,none,0,1,4,7,4.0
2025-01-08,75.4695942289125,A_1,small,1,1,4,8,0.0
2025-01-09,75.0381264115385,A_1,none,0,1,4,9,1.0
2025-01-10,74.6835408942038,A_1,none,0,1,4,10,2.0
2025-01-11,73.2860690423744,A_1,none,0,1,4,11,3.0
2025-01-12,73.6650920259179,A_1,none,0,1,4,12,4.0
2025-01-13,73.3871681457665,A_1,small,1,1,4,13,0.0
2025-01-14,73.237099685703,A_1,none,0,1,4,14,1.0
2025-01-15,72.3873350556308,A_1,none,0,1,4,15,2.0
2025-01-16,72.3628222074944,A_1,none,0,1,4,16,3.0
2025-01-17,71.5426656086291,A_1,none,0,1,4,17,4.0
2025-01-18,70.9043567776113,A_1,small,1,1,4,18,0.0
2025-01-19,70.7024539339387,A_1,none,0,1,4,19,1.0
2025-01-20,70.3224622292195,A_1,none,0,1,4,20,2.0
2025-01-21,96.1917444638447,A_1,medium,1,1,4,21,0.0
2025-01-22,96.1917444638447,A_1,none,0,1,4,22,1.0
2025-01-23,96.0915505620685,A_1,none,0,1,4,23,2.0
2025-01-24,95.223990477201,A_1,small,1,1,4,24,0.0
2025-01-25,95.0125054100959,A_1,none,0,1,4,25,1.0
2025-01-26,94.1976843633192,A_1,none,0,1,4,26,2.0
2025-01-27,94.0801560890665,A_1,none,0,1,4,27,3.0
2025-01-28,94.0801560890665,A_1,none,0,1,4,28,4.0
2025-01-29,93.1041573135456,A_1,small,1,1,4,29,0.0
2025-01-30,93.3698176163273,A_1,none,0,1,4,30,1.0
2025-01-31,92.7121889924038,A_1,none,0,1,4,31,2.0
2025-02-01,92.7121889924038,A_1,none,0,2,4,32,3.0
2025-02-02,92.7121889924038,A_1,small,1,2,4,33,0.0
2025-02-03,92.7121889924038,A_1,none,0,2,4,34,1.0
2025-02-04,91.7294193654061,A_1,none,0,2,4,35,2.0
2025-02-05,91.3480865005114,A_1,small,1,2,4,36,0.0
2025-02-06,91.2727984920799,A_1,none,0,2,4,37,1.0
2025-02-07,91.3056314647074,A_1,none,0,2,4,38,2.0
2025-02-08,91.1888901333455,A_1,none,0,2,4,39,3.0
2025-02-09,90.4480339587001,A_1,none,0,2,4,40,4.0
2025-02-10,90.4480339587001,A_1,small,1,2,4,41,0.0
2025-02-11,90.0469084671875,A_1,none,0,2,4,42,1.0
2025-02-12,89.1582423656414,A_1,none,0,2,4,43,2.0
2025-02-13,88.365760550872,A_1,small,1,2,4,44,0.0
2025-02-14,88.3179957769638,A_1,none,0,2,4,45,1.0
2025-02-15,87.7679290218331,A_1,none,0,2,4,46,2.0
2025-02-16,87.5017586985408,A_1,small,1,2,4,47,0.0
2025-02-17,87.7455478798418,A_1,none,0,2,4,48,1.0
2025-02-18,86.777062264178,A_1,none,0,2,4,49,2.0
2025-02-19,86.1888332824524,A_1,none,0,2,4,50,3.0
2025-02-20,86.2982718290043,A_1,small,1,2,4,51,0.0
2025-02-21,85.4129110091875,A_1,none,0,2,4,52,1.0
2025-02-22,85.4129110091875,A_1,none,0,2,4,53,2.0
2025-02-23,84.8604780360245,A_1,none,0,2,4,54,3.0
2025-02-24,84.4683878673502,A_1,none,0,2,4,55,4.0
2025-02-25,83.9466526173212,A_1,small,1,2,4,56,0.0
2025-02-26,83.7787918572662,A_1,none,0,2,4,57,1.0
2025-02-27,83.4607461361333,A_1,none,0,2,4,58,2.0
2025-02-28,83.5733854501365,A_1,none,0,2,4,59,3.0
2025-03-01,83.4082659012338,A_1,none,0,3,1,60,4.0
2025-03-02,83.4082659012338,A_1,small,1,3,1,61,0.0
2025-03-03,83.4082659012338,A_1,none,0,3,1,62,1.0
2025-03-04,83.4082659012338,A_1,none,0,3,1,63,2.0
2025-03-05,83.4082659012338,A_1,none,0,3,1,64,3.0
2025-03-06,83.4082659012338,A_1,small,1,3,1,65,0.0
2025-03-07,83.4082659012338,A_1,none,0,3,1,66,1.0
2025-03-08,84.2806909385868,A_1,none,0,3,1,67,2.0
2025-03-09,83.2872314366611,A_1,none,0,3,1,68,3.0
2025-03-10,83.5081250028423,A_1,small,1,3,1,69,0.0
2025-03-11,82.2013625341636,A_1,none,0,3,1,70,1.0
2025-03-12,82.3163726657601,A_1,none,0,3,1,71,2.0
2025-03-13,82.8046440478189,A_1,none,0,3,1,72,3.0
2025-03-14,113.432481595764,A_1,medium,1,3,1,73,0.0
2025-03-15,113.432481595764,A_1,small,1,3,1,74,0.0
2025-03-16,113.914573544384,A_1,none,0,3,1,75,1.0
2025-03-17,113.499943272866,A_1,none,0,3,1,76,2.0
2025-03-18,112.927082101903,A_1,none,0,3,1,77,3.0
2025-03-19,112.018762146016,A_1,none,0,3,1,78,4.0
2025-03-20,112.820196564037,A_1,small,1,3,1,79,0.0
2025-03-21,111.520594091353,A_1,none,0,3,1,80,1.0
2025-03-22,111.513679805352,A_1,none,0,3,1,81,2.0
2025-03-23,110.221830522335,A_1,none,0,3,1,82,3.0
2025-03-24,110.476243549812,A_1,small,1,3,1,83,0.0
2025-03-25,109.788384130563,A_1,none,0,3,1,84,1.0
2025-03-26,109.788384130563,A_1,none,0,3,1,85,2.0
2025-03-27,109.177065501178,A_1,small,1,3,1,86,0.0
2025-03-28,110.571153258934,A_1,none,0,3,1,87,1.0
2025-03-29,108.09695275235,A_1,none,0,3,1,88,2.0
2025-03-30,108.09695275235,A_1,small,1,3,1,89,0.0
2025-03-31,108.987927666278,A_1,none,0,3,1,90,1.0
2025-04-01,107.361406912182,A_1,none,0,4,1,91,2.0
2025-04-02,108.038359639303,A_1,none,0,4,1,92,3.0
2025-04-03,105.255450532344,A_1,small,1,4,1,93,0.0
2025-04-04,105.255450532344,A_1,none,0,4,1,94,1.0
2025-04-05,106.067407437391,A_1,none,0,4,1,95,2.0
2025-04-06,107.637979364709,A_1,small,1,4,1,96,0.0
2025-04-07,106.859732269957,A_1,none,0,4,1,97,1.0
2025-04-08,105.270843467731,A_1,none,0,4,1,98,2.0
2025-04-09,104.901536057848,A_1,none,0,4,1,99,3.0
2025-04-10,104.679191596657,A_1,small,1,4,1,100,0.0
2025-04-11,102.982902619641,A_1,none,0,4,1,101,1.0
2025-04-12,102.982902619641,A_1,none,0,4,1,102,2.0
2025-04-13,104.467552541328,A_1,small,1,4,1,103,0.0
2025-04-14,102.824377559196,A_1,none,0,4,1,104,1.0
2025-04-15,106.315796857553,A_1,none,0,4,1,105,2.0
2025-04-16,102.680448999365,A_1,small,1,4,1,106,0.0
2025-04-17,112.203981244351,A_1,none,0,4,1,107,1.0
2025-04-18,103.140749323528,A_1,none,0,4,1,108,2.0
2025-04-19,103.472988668212,A_1,none,0,4,1,109,3.0
2025-04-20,103.13358744005,A_1,none,0,4,1,110,4.0
2025-04-21,102.697315387838,A_1,small,1,4,1,111,0.0
2025-04-22,100.634339347266,A_1,none,0,4,1,112,1.0
2025-04-23,100.814757760967,A_1,none,0,4,1,113,2.0
2025-04-24,102.226558206332,A_1,none,0,4,1,114,3.0
2025-04-25,100.205615629365,A_1,none,0,4,1,115,4.0
2025-04-26,100.962997784091,A_1,small,1,4,1,116,0.0
2025-04-27,101.303263154709,A_1,none,0,4,1,117,1.0
2025-04-28,99.7393833478084,A_1,none,0,4,1,118,2.0
2025-04-29,102.173479745655,A_1,small,1,4,1,119,0.0
2025-04-30,101.978985380556,A_1,none,0,4,1,120,1.0
2025-05-01,99.1075396006888,A_1,none,0,5,1,121,2.0
2025-05-02,99.1075396006888,A_1,small,1,5,1,122,0.0
2025-05-03,99.1075396006888,A_1,none,0,5,1,123,1.0
2025-05-04,99.1075396006888,A_1,none,0,5,1,124,2.0
2025-05-05,98.7625366111464,A_1,none,0,5,1,125,3.0
2025-05-06,118.030470376194,A_1,none,0,5,1,126,4.0
2025-05-07,100.440170338101,A_1,small,1,5,1,127,0.0
2025-05-08,98.9032604396877,A_1,none,0,5,1,128,1.0
2025-05-09,97.6215351998186,A_1,none,0,5,1,129,2.0
2025-05-10,107.251475209115,A_1,medium,1,5,1,130,0.0
2025-05-11,107.251475209115,A_1,none,0,5,1,131,1.0
2025-05-12,106.802711533595,A_1,small,1,5,1,132,0.0
2025-05-13,105.96490097103,A_1,none,0,5,1,133,1.0
2025-05-14,106.205773570754,A_1,none,0,5,1,134,2.0
2025-05-15,105.181037198513,A_1,none,0,5,1,135,3.0
2025-05-16,106.352130767756,A_1,none,0,5,1,136,4.0
2025-05-17,103.812663598866,A_1,small,1,5,1,137,0.0
2025-05-18,105.927995241291,A_1,none,0,5,1,138,1.0
2025-05-19,104.496230688163,A_1,none,0,5,1,139,2.0
2025-05-20,104.478319655312,A_1,none,0,5,1,140,3.0
2025-05-21,103.352250904586,A_1,small,1,5,1,141,0.0
2025-05-22,102.779019338657,A_1,none,0,5,1,142,1.0
2025-05-23,103.60886038394,A_1,none,0,5,1,143,2.0
2025-05-24,102.452260296552,A_1,small,1,5,1,144,0.0
2025-05-25,102.320626429664,A_1,none,0,5,1,145,1.0
2025-05-26,103.193768773291,A_1,none,0,5,1,146,2.0
2025-05-27,101.805665949375,A_1,none,0,5,1,147,3.0
2025-05-28,101.28909842668,A_1,none,0,5,1,148,4.0
2025-05-29,102.016601762751,A_1,small,1,5,1,149,0.0
2025-05-30,101.606964102732,A_1,none,0,5,1,150,1.0
2025-05-31,100.581855987162,A_1,none,0,5,1,151,2.0
2025-06-01,109.150561944923,A_1,small,1,6,2,152,0.0
